,name,bday,spouse,child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,age_diff,age_actress,age_spouse
595,Joan Fontaine,1917-10-22,"December 15, 2013 (2013-12-15)  (aged 96) Carmel Highlands, California , U.S.",2,Tokyo School for Foreign ChildrenLos Gatos High School,Actress,"Tokyo, Japan",1902-05-02,"Kings Norton, Worcestershire, England",,15.474650403499044,101.45040623695216,116.9250566404512
596,Courtney Ford,1978-06-27,Actress,1,,Actress,"Huntington Beach, California, U.S.",1979-10-09,"Norwalk, Iowa, U.S.",Actor,-1.2840783862776102,40.77017324106587,39.486094854788256
597,Maria Ford,,,,,"Actress, Model, Professional Dancer",California,,,,,,
598,Deborah Foreman,1962-10-12,,,,"Actress, photographer, designer[1]","Montebello, California, U.S.",,,,,56.47754574015894,
599,Jodie Foster,1962-11-19,Alexandra Hedison  ( m.  2014),2,,"Actress, director, producer","Los Angeles, California, U.S.",1969-07-10,"Los Angeles, California, U.S.","Photographer, director, actress",-6.639424491947131,56.37350527389337,49.73408078194624
600,Kimberly Foster,1961-07-06,,,,Actress,"Fort Smith, Arkansas, United States",,,,,57.745196684394614,
601,Meg Foster,1948-05-10,Stephen McHattie  (divorced),1,,Actress,"Reading, Pennsylvania, U.S.",,,,,70.9008398529744,
602,Sara Foster,1981-02-05,Tommy Haas  ( m.  2010),2,,Actress,"Los Angeles, California, U.S.",,,,,38.15820995639883,
603,Sutton Foster,1975-03-18,Christian Borle ( m.  2006;  div.  2010) Ted Griffin  ( m.  2014),1,Carnegie Mellon University,"Actress, singer, dancer","Statesboro, Georgia, U.S.",1973-10-01,"Pittsburgh, Pennsylvania, U.S.","Actor, singer, dancer",1.4593044347248745,44.04744792843111,45.50675236315598
604,Jorja Fox,1968-07-07,,,,"Actress, producer, musician, songwriter","New York City, U.S.",,,,,50.74163056051801,
605,Megan Fox,1986-05-16,Brian Austin Green  ( m.   2010 ),3,,"Actress, model","Oak Ridge, Tennessee, U.S.",1973-07-15,"Los Angeles County, California, U.S.",Actor,12.835308048762124,32.88500106093897,45.72030910970109
606,Vivica A. Fox,1964-07-30,Christopher Harvest ( m.  1998;  div.  2002),,,"Actress, producer","South Bend, Indiana, U.S.",,,,,54.678740836567485,
607,Anne Francis,1930-09-16,"Bamlet Lawrence Price, Jr. ( m.  1952;  div.  1955) Robert Abeloff ( m.  1960;  div.  1964)",2,,Actress,"Ossining, New York, U.S.",,,,,88.54938842002231,
608,Kay Francis,1905-01-13,"August 26, 1968 (1968-08-26)  (aged 63) New York City , U.S.",,,Actress,"Oklahoma City,Oklahoma Territory, U.S.",,,,,114.22274242455354,
609,Bonnie Franklin,1944-01-06,Ronald Sossi (1967–1970; divorced) Marvin Minoff  (1980–2009; his death),,,"Actress, director","Santa Monica, California, US",,,,,75.24316036605816,
610,Diane Franklin,,Ray De Laurentis (m. 1989),Olivia De LaurentisNick De Laurentis,,"Actress, producer, model",,,,,,,
611,Kathleen Freeman,1919-02-17,Helen Ramsey (19??–2001) [1],,,"Actress, voice artist","Chicago, Illinois, U.S.",,,,,100.12799715257671,
612,Mona Freeman,1926-06-09,"
 Pat Nerney (1945–52; divorced); 1 child 
 H. Jack Ellis (1961–92; his death) 
",1,,"Actress, painter","Baltimore, Maryland, U.S.",,,,,92.82052335092439,
613,Kate French,1984-09-23,Jon Johnson (2010-present),Henry William Johnson (b.2013)Chapel DeFreine Johnson (b.2016),,Actress,"Flemington, New Jersey, U.S.",,,,,34.52774526513207,
614,Valerie French,1928-03-11,Michael Pertwee  (1952–1959) Thayer David  (1970–1975),,,Actress,"London, England, UK",,,,,91.06552495944476,
615,Lindsay Frost,1962-06-04,Rick Giolito 1988-present (2 children),Lucas Giolito Casey Giolito,,Artist,"Los Angeles, California, U.S.",,,,,56.83347365106744,
616,Soleil Moon Frye,1976-08-06,Jason Goldberg  ( m.  1998),4,San Fernando Valley Professional School,"Actress, film director, screenwriter","Glendora, California, U.S.",,"Bel Air, Los Angeles, California, U.S.",Film and television producer,,42.65932907588794,
617,Isabelle Fuhrman,1997-02-25,,,"Stanford University, RADA",Actress,"Washington, D.C., U.S.",,,,,22.103123267418223,
618,Annette Funicello,1942-10-22,Jack Gilardi ( m.  1965;  div.  1981) Glen Holt ( m.  1986; her death 2013),3,,"Actress, singer","Utica, New York, U.S.",,,,,76.4505773561401,
619,Eva Gabor,1919-02-11,"
 Eric Valdemar Drimmer ( m.  1937;  div.  1942) 
 Charles Isaacs ( m.  1943;  div.  1949) 
 John Elbert Williams ( m.  1956;  div.  1957) 
 Richard Brown ( m.  1959;  div.  1973) 
 Frank Gard Jameson, Sr. ( m.  1973;  div.  1983) 
",,,"Actress, businesswoman, socialite","Budapest, Hungarian Republic",,,,,100.14442459461864,
