,Unnamed: 0,name,bday,name_spouse,num_of_child,edu,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_sp
1621,1621,Amy Smart,1976-03-26,Carter Oosterhouse  ( m.  2011),1,,Actress,"Topanga ,  California , U.S.",1976-09-19,"Traverse City, Michigan , U.S.",,Amy Smart  ( m.  2011),,-0.48460954023696584,43.031684428838375,42.54707488860141
1622,1622,Jean Smart,1951-09-13,Richard Gilliland  ( m.  1987),2,Ballard High School,Actress,"Seattle ,  Washington , U.S.",1950-01-23,"Fort Worth ,  Texas , U.S.",,Jean Smart  (1987-present),Connor Douglas Gilliland (b. 1989)Bonnie Kathleen (b. 2008),1.6372683901791276,67.5660691184624,69.20333750864152
1623,1623,Amber Smith,1971-03-02,,,,,"Tampa, Florida , United States",,,,,,,48.099550298774105,
1624,1624,Jaclyn Smith,1945-10-26,Roger Davis ( m.  1968;  div.  1975) Dennis Cole ( m.  1978;  div.  1981) Anthony B. Richmond ( m.  1981;  div.  1989) Brad Allen ( m.  1997),2,Trinity University (Texas) (withdrawn),,"Houston , Texas, United States",1939-04-05,"Bowling Green, Kentucky",,Jaclyn Smith  (1968–1978) Suzanne Irwin (1979–1983) Alice LeGette (1985–1988) Donna Jenis (1991–1996),,6.560025188744464,73.4470933694737,80.00711855821817
1625,1625,Kellita Smith,1969-01-15,,,Santa Rosa Junior College,Actress comedian model,"Chicago, Illinois , U.S. [1] [2]",,,,,,,50.224166136197184,
1626,1626,Madolyn Smith,,Mark Osborne  ( m.  1988),2 daughters,University of Southern California,Actress,"Albuquerque ,  New Mexico ,  U.S.",,,,,,,,
1627,1627,Tasha Smith,1971-02-28,"Rory ""Keith"" Douglas ( m.  2010; annulled 2015) [1]",,,"Actress, director, producer","Camden, New Jersey , U.S.",,,,,,,48.10502611278808,
1628,1628,Lois Smith,1930-11-03,Wesley Smith ( m.  1948;  div.  1970),1,,Actress,"Topeka, Kansas , U.S.",,,,,,,88.42618260470783,
1629,1629,Shawnee Smith,1969-07-03,Jason Reposar ( m.  1998;  div.  2003) Kai Mattoon ( m.  2005;  div.  2006),3,,"Actress, singer","Orangeburg, South Carolina , U.S.",,,,,,,49.761459852016124,
1630,1630,Yeardley Smith,1964-07-03,Christopher Grove ( m.  1990;  div.  1992) Daniel Erickson ( m.  2002;  div.  2008),,,"Actress, voice actress, writer, artist","Paris ,  France",,,,,,,54.760878046777144,
1631,1631,Jan Smithers,1949-07-03,Kipp Whitman ( m.  1971;  div.  1972) James Brolin ( m.  1986;  div.  1995),1,,Actress,"North Hollywood, Los Angeles ,  California , U.S.",,,,,,,69.76187053806717,
