,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp
1384,Gina Philips,1970-05-10,Lee Nelson ( m.  2009),1,,Actress,"Miami Beach, Florida , U.S.",,,,,
1385,Bijou Phillips,1980-04-01,Danny Masterson  ( m.   2011 ),1,,"
 Actress 
 model 
 socialite 
 singer 
","Greenwich, Connecticut , U.S.",1976-03-13,"Long Island ,  New York , U.S.","Actor, disc jockey, businessman",Bijou Phillips  ( m.   2011 ),1
1386,Mackenzie Phillips,1959-11-10,Jeff Sessler ( m.  1979;  div.  1981) Michael Barakan ( m.  1986;  div.  2000) Keith Levenson  ( m.  2005),1,Highland Hall Waldorf School,"Actress, singer","Alexandria, Virginia , U.S.",,,,,
1387,Michelle Phillips,1944-06-04,"
 John Phillips ( m.  1962;  div.  1969) 
 Dennis Hopper ( m.  1970;  div.  1970) 
 Robert Burch ( m.  1978;  div.  1982) 
","3, including  Chynna Phillips",,Singer songwriter actress,"Long Beach ,  California , U.S.",,,,,
1388,Cindy Pickett,1947-04-18,Lyman Ward ( m.  1986;  div.  1992),2,,Actress,"Sand Springs, Oklahoma , U.S.",1941-06-21,"Saint John, New Brunswick , Canada",Actor,Cindy Pickett ( m.  1986;  div.  1992),2
1389,Mary Pickford,1892-04-08,"Owen Moore ( m.  1911;  div.  1920) Douglas Fairbanks ( m.  1920;  div.  1936) Charles ""Buddy"" Rogers  ( m.  1937)",2,,"Actress, producer","Toronto ,  Ontario ,  Canada",1886-12-12,"Fordstown Crossroads,  County Meath ,  Ireland",,Mary Pickford ( m.  1911;  div.  1920) Katherine Perry  ( m.  1921),
1390,Molly Picon,1898-02-28,Jacob Kalich (1919–1975; his death),,,Actress,"New York City, US",,,,,
1391,Sasha Pieterse-Sheaffer,1996-02-17,Hudson Sheaffer ( m.  2018),,,"
 Actress 
 singer 
 songwriter 
 model 
","Johannesburg ,  Gauteng , South Africa",,,,,
1392,Jada Pinkett Smith,1971-09-18,Will Smith  ( m.  1997),Jaden  and  Willow Smith,,"Actress, singer-songwriter, businesswoman","Baltimore ,  Maryland , U.S.",1968-09-25,"Philadelphia, Pennsylvania ,  U.S.","
 Actor 
 producer 
 rapper 
 writer 
 media personality 
 MC 
 comedian 
","Calabasas, California , U.S.",3 (including  Jaden  and  Willow )
1393,Leah Pipes,1988-08-12,A.J. Trauth  ( m.  2014),,,Actress,"Los Angeles ,  California , U.S.",,,,,
1394,Maria Pitillo,1965-01-08,David R Fortney ( m.  2002),1,,,"Elmira, New York , U.S.",,,,,
1395,ZaSu Pitts,1894-01-03,Thomas Sarsfield Gallery ( m.  1920;  div.  1933) John E. Woodall ( m.  1933; her death 1963),2,,Actress,"Parsons, Kansas , U.S.",1897-11-27,"Chicago, Illinois , U.S.",Actor,ZaSu Pitts  (1920–1933; divorced) Lillian Fette (m.1939?),3
1396,Mary Kay Place,1947-09-23,,,,"Actress, singer, director, screenwriter","Tulsa ,  Oklahoma , U.S.",,,,,
1397,Dana Plato,1964-11-07,Lanny Lambert ( m.  1984–1990),Tyler Lambert (1984–2010),,Actress,"Maywood, California , U.S.",,,,,
1398,Alice Playten,1947-08-28,,,,Actress,"New York City , U.S.",,,,,
1399,Aubrey Plaza,,Jeff Baena  (2011–present),,Ursuline Academy,"Actress, comedian, producer","Wilmington, Delaware , U.S.",,,,,
1400,Suzanne Pleshette,1937-01-31,Troy Donahue ( m.  1964;  div.  1964) Tommy Gallagher ( m.  1968; died 2000) Tom Poston ( m.  2001; died 2007),,,Actress,"Brooklyn, New York , U.S.",1936-01-27,"New York City, New York, U.S.","Actor, singer",Suzanne Pleshette ( m.  1964;  div.  1964) Valerie Allen ( m.  1966;  div.  1968) Alma Sharpe ( m.  1969;  div.  1972) Vicki Taylor ( m.  1979;  div.  1981),1
1401,Martha Plimpton,1970-11-16,,,Professional Children's School,"
 Actress 
 singer 
 model 
","Manhattan , U.S.",,,,,
1402,Eve Plumb,1958-04-29,,,,"Actress, singer, painter","Burbank, California , U.S.",,,,,
1403,Amy Poehler,1971-09-16,Will Arnett ( m.   2003 ;  div.   2016 ),2,,"
 Actress 
 comedian 
 director 
 producer 
 writer 
","Newton, Massachusetts , U.S.",1970-05-04,"Toronto, Ontario , Canada","
 Actor 
 comedian 
 producer 
",Penelope Ann Miller ( m.  1994;  div.  1995) Amy Poehler ( m.  2003;  div.  2016),2
1404,Priscilla Pointer,1924-05-18,Jules Irving ( m.  1947; died 1979) Robert Symonds ( m.  1980; died 2007),"3, including  Amy Irving",,Actress,"New York City ,  New York , U.S.",1925-04-13,"New York City , U.S.","Actor, director","July 28, 1979 (1979-07-28)  (aged 54) Reno, Nevada , U.S.","2, including  Amy Irving"
1405,Sydney Tamiia Poitier,1973-11-15,Dorian Heartsong ( m.  2012),1,,Actress,"Los Angeles ,  California , U.S.",,,,,
1406,Teri Polo,1969-06-01,Anthony Moore ( m.  1997;  div.  2005),2,,Actress,"Dover, Delaware , U.S.",,,,,
1407,Scarlett Pomers,1988-11-28,,,,"Actress,  singer-songwriter",,,,,,
1408,Ellen Pompeo,1969-11-10,Chris Ivery ( m.  2007),3,,"
 Actress 
 Director 
 Producer 
","Everett, Massachusetts , U.S.",,,,,
1409,Alisan Porter,1981-06-20,"Los Angeles ,  California",2,"Staples High School, Connecticut",Child actress singer,"Worcester ,  Massachusetts , U.S.",,,,,
1410,Natalie Portman,1981-06-09,Benjamin Millepied  ( m.   2012 ),2,,Actress filmmaker,Jerusalem,1977-06-10,"Bordeaux , France","Choreographer ,  ballet dancer",Natalie Portman  ( m.  2012),2
1411,Parker Posey,1968-11-08,,,,"
 Actress 
 musician 
","Baltimore, Maryland , U.S.",,,,,
1412,Laura Post,,,,,"Voice actress, voice director","Chicago, Illinois , U.S.",,,,,
1413,Markie Post,1950-11-04,Stephen Knox (m. 1971; div. 1972) Michael A. Ross ( m.  1982),2,,Actress,"Palo Alto, California , U.S.",,,,,
1414,Monica Potter,1971-06-30,Tom Potter ( m.  1990;  div.  1998) Daniel Christopher Allison ( m.  2005;  sep.  2018),3,,Actress,"Cleveland ,  Ohio , U.S.",,,,,
1415,Annie Potts,1952-10-28,Steven Hartley ( m.  1973;  div.  1978) Greg Antonacci ( m.  1978;  div.  1980) B. Scott Senechal ( m.  1981;  div.  1989) James Hayman  ( m.  1990),3,,Actress,"Nashville ,  Tennessee , U.S.",,,,,
1416,CCH Pounder,1952-12-25,Boubacar Kone ( m.  1991; died  2016 ) [1],,,Actress,"Georgetown ,  British Guiana",,,,,
1417,Phyllis Povah,1893-07-21,Henry E. Drayton (1930-1975) (her death) (2 children),,,Actress,"Detroit , Michigan, U.S.",,,,,
1418,Eleanor Powell,1912-11-21,Glenn Ford ( m.  1943;  div.  1959),Peter Ford [1],,"Dancer, actress","Springfield, Massachusetts , U.S.",1916-05-01,"Sainte-Christine-d'Auvergne, Quebec , Canada",Actor,Eleanor Powell ( m.  1943;  div.  1959) Kathryn Hays ( m.  1966;  div.  1969) Cynthia Hayward ( m.  1977;  div.  1984) Jeanne Baus ( m.  1993;  div.  1994),Peter Ford
1419,Jane Powell,1929-04-01,Geary Steffen ( m.  1949;  div.  1953) Patrick Nerney ( m.  1954;  div.  1963) James Fitzgerald ( m.  1965;  div.  1975) David Parlour ( m.  1978;  div.  1981) Dickie Moore ( m.  1988; died 2015),3,,"Actress, singer, dancer","Portland, Oregon , U.S.",,,,,
1420,Stefanie Powers,1942-11-02,Gary Lockwood  (1966–1972) (divorced) Patrick De La Chenais (1993–1999) (divorced),,,Actress,"Hollywood , California, U.S.",,,,,
1421,Keri Lynn Pratt,1978-09-23,John Barneson ( m.  2011),,,Actress,"Concord, New Hampshire , U.S.",,,,,
1422,Kyla Pratt,1986-09-16,Danny Kirkpatrick ( m.  2005),2,Alexander Hamilton High School,"Actress,  musician , singer","Los Angeles ,  California , U.S.",,,,,
1423,Laura Prepon,1980-03-07,Ben Foster  ( m.  2018),1,,"Actress, director, author","Watchung ,  New Jersey , U.S.",1980-10-29,"Boston ,  Massachusetts , U.S.",Actor,Laura Prepon  ( m.  2018),1
1424,Paula Prentiss,1938-03-04,Richard Benjamin (m. 1961),"1 son, 1 daughter",,Actress,"San Antonio, Texas , U.S.",,,,,
1425,Jaime Pressly,1977-07-30,Simran Singh ( m.  2009–2011),3,,"Actress, model","Kinston ,  North Carolina , U.S.",,,,,
1426,Carrie Preston,1967-06-21,Michael Emerson  ( m.  1998),,University of Evansville (BFA)Juilliard School (GrDip),"Actress, director, producer","Macon, Georgia , U.S.",1954-09-07,"Cedar Rapids ,  Iowa ,  U.S.",Actor,[First wife] (divorced) [2] Carrie Preston  ( m.  1998) [2],
1427,Kelly Preston,1962-10-13,"Kevin Gage ( m.  1985;  div.  1987) , John Travolta  ( m.  1991)",3,,"Actress, model","Honolulu ,  Hawaii , U.S.",1959-05-26,"Wisconsin ,  United States",Actor,"
 Kelly Preston  ( m.  1985–1987) 
 Shannon Perris-Knight ( m.   2006 ) 
",
1428,Lindsay Price Stone,1976-12-06,Shawn Piller ( m.  2004;  div.  2007) Curtis Stone  ( m.  2013),2,,"Actress, singer","Arcadia, California , U.S. [1]",,,,,
1429,Megyn Price,1971-03-24,Bill Lawrence  (divorced) Edward Cotner,1,,Actress,"Seattle ,  Washington , U.S.",,,,,
1430,Pat Priest,1936-08-15,Pierce Jensen Jr. ( m.  1955;  div.  1967) Frederick Hansing ( m.  1981),2,Washington-Lee High School,Actress,"Bountiful, Utah , U.S.",,,,,
1431,Victoria Principal,1950-01-03,Christopher Skinner ( m.  1978–1980) Harry Glassman ( m.  1985–2006),,,"Actress, Entrepreneur, Author","Fukuoka, Japan",,,,,
1432,Emily Procter,1968-10-08,Paul Bryan  (2008–present),1,Ravenscroft School,Actress,"Raleigh, North Carolina , U.S.",,,,,
1433,Dorothy Provine,1935-01-20,Robert Day ( m.  1968; her death 2010),1 [1] [2],,Actress Comedian Dancer Singer,"Deadwood, South Dakota , U.S.",,"Sheen , England",Film director,Eileen Pamela Day (1948 [1] -1968; [2]  divorce; 1 child)  Dorothy Provine  (1968-2010; her death; 1 child),"Roberta Jane Simons (15 October 1952 [3] ) Robert Day, Jr. (28 May 1969)"
1434,Linda Purl,1955-09-02,"Desi Arnaz, Jr. ( m.  1980;  div.  1981) William Broyles Jr. ( m.  1988;  div.  1992) Alexander Cary, Master of Falkland ( m.  1993;  div.  1999) James Vinson Adams ( m.  2006;  div.  2011)",1,Finch College,Actress,"Greenwich, Connecticut , U.S.",1953-01-19,"Los Angeles , California, U.S.",Actor and musician,Linda Purl ( m.  1980;  div.  1981) Amy Laura Bargiel ( m.  1987; died 2015),2
1435,Missi Pyle,1972-11-16,Antonio Sacre ( m.  2000;  div.  2005) Casey Anderson ( m.  2008;  div.  2012),,University of North Carolina School of the Arts,"Actress, singer","Houston ,  Texas , U.S.",,,,,
1436,Maggie Q,1979-05-22,,,,"Actress, model, health advocate","Honolulu ,  Hawaii , U.S.",,,,,
1437,Margaret Qualley,1994-10-23,,,,"
 Actress 
 dancer 
 model 
","Kalispell ,  Montana , U.S.",,,,,
1438,Kathleen Quinlan,1954-11-19,Bruce Abbott  ( m.  1994),1,,Actress,"Pasadena, California , U.S.",1954-07-28,"Portland , Oregon, U.S.",Actor,Linda Hamilton ( m.  1982;  div.  1989) Kathleen Quinlan  ( m.  1994),2
1439,Maeve Quinlan,1964-11-16,Tom Sizemore  (1996 – 1999; divorced),,,Actress,"Chicago ,  Illinois , U.S.",,,,,
1440,Cassidy Rae Joyce,1976-06-07,Andrew Towns (2000–present),1,,,"Clermont, Florida ,  USA",,,,,
1441,Charlotte Rae,1926-04-22,John Strauss ( m.  1951;  div.  1976),2,Northwestern UniversityUniversity of Southern California,"Actress, singer, dancer, comedienne","Milwaukee, Wisconsin , U.S.",,,,,
1442,Cristina Raines,1952-02-28,Christopher Crowe ( m.  1986;  div.  1996) [1],2,,"Nurse, retired actor","Manila , Philippines",,,,,
1443,Ella Raines,1920-08-06,Kenneth Trout (1942–1945)  (div).  Robin Olds  (1947–1976) (divorced),3,,,"Snoqualmie Falls, Washington , U.S.",,,,,
1444,Francia Raisa,1988-07-26,,,,Actress,"Los Angeles ,  California , U.S.",,,,,
1445,Mary Lynn Rajskub,1971-06-22,Matthew Rolph ( m.  2009),1,,"Actress, comedian","Detroit, Michigan , U.S.",,,,,
1446,Sheryl Lee Ralph,1956-12-30,Eric Maurice ( m.  1990;  div.  2001) Vincent Hughes  ( m.  2005),2,Uniondale High SchoolRutgers University,Actress singer activist,"Waterbury, Connecticut , U.S.",,,,,
1447,Esther Ralston,1902-09-17,George Webb ( m.  1926–1934) Will Morgan ( m.  1935–1938) Ted Lloyd ( m.  1939–1954),3,,Actress,"Bar Harbor, Maine , U.S.",,,,,
1448,Marjorie Rambeau,1889-07-15,Willard Mack  (1913–17)  Hugh Dillman (1919–23)  Francis A. Gudger (1931–67),,,actress,San Francisco  U.S.,,,,,
1449,Leven Rambin,1990-05-17,Jim Parrack ( m.  2015;  div.  2017),,Texas Tech University Independent School District,"Actress, voice actress, fashion enthusiast","Houston , Texas, United States",1981-02-08,"Allen ,  Texas , U.S.","Actor, producer","Ciera Danielle ( m.  2008–2014) 
 Leven Rambin  ( m.  2015–2017)",
1450,Cierra Ramírez,1995-03-09,,,,"Actress, singer","Houston ,  Texas , U.S.",,,,,
1451,Dania Ramirez,1979-11-08,Bev Land ( m.  2013),2,,Actress,"Santo Domingo , Dominican Republic",,,,,
1452,Sara Ramírez,1975-08-31,Ryan Debolt ( m.  2012),,Juilliard School (BFA),"
 Actress 
 singer 
 songwriter 
","Mazatlán ,  Sinaloa , Mexico",,,,,
1453,Anne Ramsey,1929-03-27,Logan Ramsey ( m.  1954; Her death 1988),,,Actress,"Omaha, Nebraska , U.S.",1921-03-21,"Long Beach, California , U.S.",,Anne Ramsey  (1954–1988)  (her death),
1454,Laura Ramsey,1982-11-14,,,,Actress,"Brandon, Wisconsin , U.S.",,,,,
1455,Theresa Randle,1964-12-27,,,,Actress,"Gary, Indiana ,  U.S.",,,,,
1456,June Diane Raphael,1980-01-04,Paul Scheer  ( m.  2009),2,,"
 Actress 
 comedian 
 writer 
","Rockville Centre, New York , U.S.",1976-01-31,"Huntington ,  New York , U.S.","Actor, comedian, podcaster, writer, director, producer",June Diane Raphael  ( m.  2009),2
1457,Phylicia Rashad,1948-06-19,William Lancelot Bowles Jr. ( m.  1972–1975) Victor Willis  ( m.  1978–1982) Ahmad Rashād  ( m.  1985–2001),"2, including  Condola Rashād",,"Singer, actress, stage director","Houston, Texas , U.S.",,,,,
1458,Emily Ratajkowski,1991-06-07,Sebastian Bear-McClard ( m.   2018 ),,,Actress model,"Westminster, London , England",,,,,
1459,Kim Raver,1969-03-15,Manuel Boyer ( m.  2000),2,,Actress,"New York City ,  New York , U.S.",,,,,
1460,Navi Rawat,1977-06-05,Brawley Nolte ( m.  2012),1,,,"Malibu, California ,  U.S.",,,,,
1461,Martha Raye,1916-08-27,Bud Westmore  (1937) David Rose  (1938–1941) Neal Lang (1941–1944) Nick Condos (1944–1953) Edward T. Begley (1954–1956) Robert O'Shea (1956–1960) Mark Harris (1991–1994; her death),1,,"Actress singer, comedian","Butte, Montana , U.S.",,,,,
1462,Tania Raymonde,1988-03-22,,,,Actress,"Los Angeles ,  California , U.S.",,,,,
1463,Elizabeth Reaser,1975-07-02,,,Oakland UniversityJuilliard School (BFA),Actress,"Bloomfield, Michigan , U.S.",,,,,
1464,Alyson Reed,1958-01-11,,,,"Actress, dancer, singer","Anaheim, California ,  U.S.",,,,,
1465,Crystal Reed,1985-02-06,Peter Nottoli ( m.  2008;  div.  2012),,,"Actress, model","Roseville ,  Michigan , U.S.",,,,,
1466,Donna Reed,1921-01-27,William J. Tuttle ( m.  1943;  div.  1945) Tony Owen ( m.  1945;  div.  1971) Grover Asmus ( m.  1974),4,,Actress,"Denison, Iowa , U.S.",1912-04-13,"Jacksonville, Florida , US",Make-up artist,see  below,
1467,Nikki Reed,1988-05-17,Paul McDonald ( m.  2011;  div.  2015) Ian Somerhalder  ( m.  2015),1,,"Actress,  screenwriter ,  model , singer-songwriter,  music video director","Los Angeles ,  California , U.S.",,,,,
1468,Pamela Reed,1949-04-02,Sandy Smolan ( m.  1988),2,,,"Tacoma, Washington , U.S.",,,,,
1469,Della Reese,1931-07-06,Wayne State University  (attended),1,Wayne State University (attended),"
 Singer 
 actress 
 producer 
 minister 
","Detroit, Michigan , U.S.",,,,,
1470,Autumn Reeser,1980-09-21,Jesse Warren ( m.  2009;  div.  2014),2,,Actress,"La Jolla, California , U.S.",,,,,
1471,Bridget Regan,1982-02-03,University of North Carolina School of the Arts,2,,Actress,"San Diego County, California , U.S.",,,,,
1472,Storm Reid,2003-07-01,,,,Actress,"Atlanta ,  Georgia , U.S.",,,,,
1473,Tara Reid,1975-11-08,,,,Actress,"Wyckoff ,  New Jersey , U.S.",,,,,
1474,Lee Remick,1935-12-14,Bill Colleran ( m.  1957;  div.  1968) Kip Gowans ( m.  1970; her death 1991),2,Barnard College,Actress,"Quincy, Massachusetts , U.S.",,,,,
1475,Leah Remini,1970-06-15,Angelo Pagán ( m.   2003 ),1,,"
 Actress 
 writer 
 activist 
","New York City , U.S.",,,,,
1476,Retta,1970-04-12,,,,"Actress, comedian, chemist (past)","Newark, New Jersey , U.S.",,,,,
1477,Anne Revere,1903-06-25,Samuel Rosen (1935–84; his death),,,Actress,"New York City, New York ,  U.S.",,,,,
1478,Judy Reyes,1967-11-05,Edwin M. Figueroa ( m.  1997;  div.  2008) [2],1,,"Actress, Producer","The Bronx ,  New York , U.S. [1]",,,,,
1479,Debbie Reynolds,1932-04-01,Eddie Fisher ( m.  1955;  div.  1959) Harry Karl ( m.  1960;  div.  1973) Richard Hamlett ( m.  1984;  div.  1996),"
 Carrie Fisher 
 Todd Fisher 
",,"Actress, singer, dancer, businesswoman","El Paso, Texas , U.S.",1928-08-10,"Philadelphia, Pennsylvania , U.S.","Singer, actor","
 Debbie Reynolds ( m.  1955;  div.  1959) 
 Elizabeth Taylor ( m.  1959;  div.  1964) 
 Connie Stevens ( m.  1967;  div.  1969) 
 Terry Richard ( m.  1975;  div.  1976) 
 Betty Lin ( m.  1993; died 2001) 
","
 Carrie Fisher 
 Todd Fisher 
 Joely Fisher 
 Tricia Leigh Fisher 
"
1480,Alicia Rhett,1915-02-01,"Actress,  portrait painter",,,"Actress,  portrait painter","Savannah, Georgia ,  U.S.",,,,,
1481,Barbara Rhoades,1946-03-23,Bernie Orenstein (1979-present),,,Actress,"Poughkeepsie, New York , U.S.",,,,,
1482,Cynthia Rhodes,1956-11-21,Richard Marx  (1989–2014; divorced),3,,"Actress, singer, dancer","Nashville, Tennessee , U.S.",,,,,
1483,Jennifer Rhodes,1947-08-17,Jordan Rhodes (divorced),,,Actress,"Rosiclare, Illinois , U.S.",,,,,
1484,Kim Rhodes,1969-06-07,Actress,1,Southern Oregon UniversityTemple University (MFA),Actress,"Portland, Oregon , U.S.",,,,,
1485,Monica Rial,1975-10-05,,,,"Voice actress, ADR director, script writer","Houston ,  Texas , U.S.",,,,,
1486,Marissa Ribisi,1974-12-17,Beck ( m.  2004;  div.  2019),2,,Actress,"Los Angeles ,  California , U.S.",,,,,
1487,Elizabeth Ellen Rice,1985-11-05,,,,Actress,"Pine Bluff ,  Jefferson County ,  Arkansas ,  U.S.",,,,,
1488,Gigi Rice,1965-03-13,Ted McGinley  ( m.  1991),2,,Actress,"Westerville, Ohio , U.S.",1958-05-30,"Newport Beach, California , U.S.",Actor,Gigi Rice  ( m.  1991),2
1489,Christina Ricci,1980-02-12,James Heerdegen ( m.  2013),1,,"Actress, producer","Santa Monica, California , U.S.",,,,,
1490,Ariana Richards,1979-09-11,Mark Aaron Bolton ( m.  2013),1,,"Actress, painter","Healdsburg, California , U.S.",,,,,
1491,Beah Richards,1920-07-12,Hugh Harrell Jr. (divorced),,,Actress,"Vicksburg, Mississippi , U.S.",,,,,
1492,Denise Richards,1971-02-17,"Charlie Sheen ( m.  2002;  div.  2006) 
 Aaron Phypers  ( m.  2018)",3,,Actress,"Downers Grove, Illinois , U.S.",1965-09-03,"New York City , New York, U.S.",Actor,Donna Peele ( m.  1995;  div.  1996) Denise Richards ( m.  2002;  div.  2006) Brooke Mueller ( m.  2008;  div.  2011) [1],5
1493,Kim Richards,1964-09-19,G. Monty Brinson ( m.  1985;  div.  1988) Gregg Davis ( m.  1988;  div.  1991),4,,"
 Actress 
 television personality 
","Mineola, New York , U.S.",,,,,
1494,Kyle Richards,1969-01-11,Guraish Aldjufrie ( m.  1988;  div.  1992)   Mauricio Umansky ( m.  1996),4,,"Actress, television personality, memoirist, philanthropist","Hollywood, California , U.S.",,,,,
1495,Cameron Richardson,1979-09-11,,1,,"Producer, Actress, Model","Baton Rouge ,  Louisiana , U.S.",,,,,
1496,LaTanya Jackson,1949-10-21,Samuel L. Jackson  ( m.  1980),1,,"Actress, producer","Atlanta ,  Georgia , U.S.",1948-12-21,"Washington, D.C. , U.S.","Actor, film producer",LaTanya Richardson  ( m.  1980),1
1497,Natasha Richardson,1963-05-11,Robert Fox ( m.  1990;  div.  1992) Liam Neeson  ( m.  1994),2,St Paul's Girls' School,Actress,"Marylebone ,  London , England",1952-03-25,"Cuckfield ,  Sussex , England","Film producer, theatre producer",Celestia Fox ( m.  1975;  div.  1990) Natasha Richardson ( m.  1990;  div.  1992) Fiona Golfar ( m.  1996),5
1498,Patricia Richardson,1951-02-23,Ray Baker ( m.  1982;  div.  1995),3,,Actress,"Bethesda, Maryland ,  U.S.",1948-07-09,"Omaha, Nebraska ,  U.S.",Actor,Patricia Richardson ( m.  1982;  div.  1995) Colleen Dodson ( m.  1997),3
1499,Ashley Rickards,1992-05-04,,,,"Actress, director","Sarasota, Florida , U.S.",,,,,
1500,Beth Riesgraf,1978-08-24,Jason Lee  (2001–07),1,,Actress,"Belle Plaine ,  Minnesota , U.S.",,,,,
1501,Amanda Righetti,1983-04-04,Jordan Alan  ( m.  2006),1,,Actress,"St. George, Utah , U.S.",,,Director,Amanda Righetti  (2006-present),
1502,Molly Ringwald,1968-02-18,Valery Lameignère ( m.  1999;  div.  2002) Panio Gianopoulos  ( m.  2007),3,,"Actress, singer, dancer, writer","Roseville ,  California , U.S.",,,,,
1503,Lisa Rinna,1963-07-11,Harry Hamlin  ( m.  1997),2,,"Actress, fashion designer, talk show host, television personality","Newport Beach, California , U.S.",1951-10-30,"Pasadena, California , U.S.","Actor,  voice actor , writer, business investor","
 Laura Johnson ( m.  1985;  div.  1989) 
 Nicollette Sheridan ( m.  1991;  div.  1992) 
 Lisa Rinna  ( m.  1997) 
",3
1504,Kelly Ripa,1970-10-02,Mark Consuelos  ( m.  1996),3,Eastern Regional High School,"
 Actress 
 talk show host 
 television producer 
","Berlin, New Jersey , U.S.",1971-03-30,"Zaragoza ,  Spain",,Kelly Ripa  ( m.  1996),3
1505,Thelma Ritter,1902-02-14,Joseph Moran (1927–1969; her death),2,,Actress,"New York City ,  New York ,  U.S.",,,,,
1506,Naya Rivera,1987-01-12,Ryan Dorsey ( m.  2014;  div.  2018),1,,"
 Actress 
 singer 
 model 
","Santa Clarita, California , U.S.",,,,,
1507,AnnaSophia Robb,1993-12-08,,,New York University,"Actress, singer, model","Denver, Colorado , U.S.",,,,,
1508,Doris Roberts,1925-11-04,"
 Michael E. Cannata ( m.  1956;  div.  1962) 
 William Goyen ( m.  1963; died 1983) 
",1,,Actress,"St. Louis ,  Missouri , U.S.",,,,,
1509,Emma Roberts,1991-02-10,,,,Actress singer,"Rhinebeck, New York , U.S.",,,,,
1510,Julia Roberts,1967-10-28,Lyle Lovett ( m.  1993;  div.  1995)     Daniel Moder  ( m.  2002),3,Georgia State University (attended),"Actress, producer","Smyrna, Georgia , U.S.",,,,,
1511,Tanya Roberts,1955-10-15,"Barry Roberts (m. 1974, d. 2006; his death)",,,"Actress ,  producer","The Bronx ,  New York City ,   New York , U.S.",,,,,
1512,Britt Robertson,1990-04-18,,,,Actress,"Charlotte, North Carolina , U.S.",,,,,
1513,Wendy Robie,1953-10-06,,1,,Actress,"Cincinnati ,  Ohio , U.S.",,,,,
1514,Wendy Raquel Robinson,1967-07-25,Marco Perkins ( m.  2003),,Howard University,Actress,"Los Angeles ,  California , U.S.",,,,,
1515,Ann Robinson,1929-05-25,Joseph Valdez (1987–2017) (divorced)  Jaime Bravo  (1957–1967) (divorced) 2 children,Jaime A. Bravo (b. 1958) Estefan A. Bravo (b. 1963),,,"Hollywood ,  Los Angeles ,  California , U.S.",,,,,
1516,Cindy Robinson,1968-04-06,Christopher Corey Smith  (2015–present),,,Voice actress,,,,,,
1517,Holly Robinson Peete,1964-09-18,Sarah Lawrence College,4,,"Actress, singer, author, television personality","Mount Airy, Philadelphia ,  Pennsylvania , U.S.",,,,,
1518,Lela Rochon,1964-04-17,Adolfo Quiñones ( m.  1982;  div.  1987) Antoine Fuqua  ( m.  1999),2,"Cerritos High SchoolCalifornia State University, Dominguez Hills",Actress,"Los Angeles ,  California , U.S.",1955-05-11,"Chicago, Illinois , U.S.",Actor dancer choreographer [2],Gwendolyn Powell ( m.  1979;  div.  1982) Lela Rochon ( m.  1984;  div.  1987),2
1519,Holland Roden,1986-10-07,,,,Actress,"Dallas ,  Texas ,  U.S.",,,,,
1520,Michelle Rodriguez,1978-07-12,,,,Actress,"San Antonio ,  Texas ,  United States",,,,,
1521,Raini Rodriguez,1993-07-01,,,,"Actress, singer","Bryan, Texas , U.S.",,,,,
1522,Sarah Roemer,1984-08-28,Chad Michael Murray  ( m.   2015 ),2,,"Actress, model","San Diego ,  California , U.S.",1981-08-24,"Buffalo, New York , U.S.","Actor, model, spokesperson, writer",Sophia Bush ( m.   2005 ;  div.   2006 ) Sarah Roemer  ( m.   2015 ),2
1523,Ginger Rogers,1911-07-16,Jack Pepper ( m.  1929;  div.  1931) Lew Ayres ( m.  1934;  div.  1940) Jack Briggs ( m.  1943;  div.  1949) Jacques Bergerac ( m.  1953;  div.  1957) William Marshall ( m.  1961;  div.  1969),,,"
 Actress 
 dancer 
 singer 
","Independence, Missouri , U.S.",1902-06-14,"Palestine, Texas , U.S.","Singer, dancer, comedian, musician, nightclub manager",Ginger Rogers ( m.  1929;  div.  1931) Dawn Stanton ( m.  1935; his death 1979),Cynthia Pepper
1524,Mimi Rogers,1956-01-27,James Rogers ( m.  1976;  div.  1980) Tom Cruise ( m.  1987;  div.  1990) Christopher Ciaffa ( m.  2003),2,,"Actress, producer, poker player","Coral Gables, Florida , U.S.",,,,,
1525,Elisabeth Röhm,1973-04-28,Ron Anthony Wooster ( m.  2008;  div.  2014),1,,Actress,"Düsseldorf ,  West Germany",,,,,
1526,Esther Rolle,1920-11-08,Oscar Robinson ( m.  1955;  div.  1975),,Spelman College (attended),Actress,"Pompano Beach , Florida, U.S.",,,,,
1527,Rose Rollins,1981-04-30,,,,Actress,"Berkeley ,  California , U.S",,,,,
1528,Ruth Roman,1922-12-22,Jack Flaxman (1939–c. 1941) [4] Mortimer Hall (1950–1956) Bud Burton Moss (1956–1960) William Ross Wilson (1976–1999),Richard Roman Hall (b. 1952),,Actress,"Lynn, Massachusetts , U.S.",,,,,
1529,Christy Carlson Romano,1984-03-20,Brendan Rooney ( m.   2013 ),2,,Actress comedian singer,"Milford, Connecticut , U.S.",,,,,
